id_emprendimiento,id_tematica
1,1
7,1
16,1
26,1
56,1
59,1
77,1
2,2
24,2
36,2
7,3
39,3
4,4
10,4
25,4
29,4
36,4
38,4
44,4
46,4
57,4
63,4
71,4
79,4
8,5
21,5
40,5
51,5
5,6
17,6
26,6
32,6
34,6
39,6
48,6
50,6
52,6
53,6
6,7
19,7
20,7
43,7
3,8
28,8
41,8
74,8
13,9
27,9
42,9
1,10
6,10
11,10
12,10
19,10
24,10
30,10
31,10
34,10
43,10
45,10
54,10
55,10
9,11
23,11
37,11
49,11
72,11
3,12
10,12
14,12
20,12
22,12
29,12
35,12
38,12
44,12
47,12
63,12
71,12
2,13
15,13
16,13
18,13
33,13
41,13
60,13
67,13
73,13
4,14
25,14
28,14
46,14
56,14
58,14
59,14
61,14
63,14
66,14
73,14
77,14
80,14
5,15
8,15
13,15
17,15
21,15
23,15
32,15
37,15
40,15
47,15
49,15
50,15
57,15
61,15
62,15
64,15
65,15
66,15
67,15
69,15
70,15
72,15
74,15
75,15
78,15
79,15
9,16
14,16
22,16
35,16
51,16
52,16
61,16
64,16
68,16
70,16
75,16
76,16
80,16
11,17
12,17
27,17
30,17
31,17
42,17
45,17
48,17
54,17
55,17
76,17
15,18
18,18
33,18
53,18
58,18
60,18
68,18
62,19
65,19
69,19
74,19
78,19
