id_publicacion,contenido,n_likes,id_emprendimiento
1,¡Cultiva con nosotros! Únete a EcoHuertas Urbanas este sábado en nuestro taller de siembra. #HuertosUrbanos #Sostenibilidad,5,1
2,¡Verde en la ciudad! Participa en nuestro huerto comunitario y aprende a sembrar. Visítanos! #EcoHuertas #CaucaVerde,4,1
3,Sembremos juntos un futuro sostenible. Ven a EcoHuertas Urbanas este viernes! #HuertoComunitario,3,1
4,¡Huertos para todos! Taller de compostaje este domingo. Inscríbete ya! #EcoHuertas #Sostenibilidad,6,1
5,Crece con EcoHuertas! Únete a nuestra comunidad y cultiva en la ciudad. #HuertosUrbanos #Verde,4,1
6,¡Haz tu propio huerto! Aprende con nosotros este sábado. #EcoHuertasUrbanas #SembrandoFuturo,5,1
7,Verde en Popayán! Ven a nuestro huerto urbano y siembra con nosotros. #EcoHuertas #Cauca,3,1
8,En EcoHuertas Urbanas transformamos la ciudad con huertos comunitarios. Únete a nuestro taller de siembra este sábado y aprende a cultivar tus alimentos. ¡Sembremos un futuro verde juntos! Visita nuestro sitio: ecohuertas.com #HuertosUrbanos #Sostenibilidad #CaucaVerde,8,1
9,¿Sabías que un huerto urbano puede reducir tu huella de carbono? En EcoHuertas Urbanas te enseñamos a crear el tuyo. Ven a nuestro evento este viernes en Popayán y descubre cómo. ¡Inscríbete ya! #EcoHuertas #SembrandoFuturo #Sostenibilidad,7,1
10,Nuestros huertos comunitarios unen a la comunidad para cultivar alimentos frescos. Participa en nuestro próximo taller de compostaje y haz la diferencia. ¡Domingo en Popayán! Más info en ecohuertas.com #HuertosUrbanos #Cauca #EcoVida,6,1
11,EcoHuertas Urbanas lleva la agricultura sostenible a Popayán. Aprende a sembrar y cuida el planeta con nosotros. Únete este sábado a nuestro taller gratuito. ¡Cupo limitado! #Sostenibilidad #HuertoComunitario #EcoHuertas,9,1
12,"En EcoHuertas Urbanas creemos que todos pueden cultivar sus propios alimentos, incluso en la ciudad. Este mes, 30 voluntarios se unieron a nuestro taller de siembra en Popayán, creando un nuevo huerto comunitario que abastecerá a 10 familias. ¡Únete a nuestro próximo evento este sábado y sé parte de este cambio! Aprende a sembrar, compostar y cuidar el planeta. Visita ecohuertas.com para más detalles. #HuertosUrbanos #Sostenibilidad #CaucaVerde #Comunidad",11,1
13,"Nuestra misión en EcoHuertas Urbanas es transformar Popayán en una ciudad más verde. Desde 2023, hemos capacitado a 150 personas en agricultura urbana, ayudando a crear 5 huertos comunitarios. Estos espacios no solo producen alimentos frescos, sino que unen a la comunidad. Ven a nuestro taller de compostaje este domingo y descubre cómo hacer tu propio abono. ¡Inscríbete en ecohuertas.com! #EcoHuertas #SembrandoFuturo #Sostenibilidad #Popayán",10,1
