id_comentario,comentario,id_publicacion
1,¡Qué bacano! Voy este sábado a sembrar. 🌱 #HuertosUrbanos,1
2,"¿Dónde es el taller en Popayán, parce? #HuertosUrbanos",1
3,"Buen proyecto, pero falta más info del horario. 😕 #Sostenibilidad",1
4,"Me encanta la idea, pero ojalá sea más largo. 😊 #HuertosUrbanos",1
5,"¡Qué chimba! @JuanCa, vente al taller. 🙌 #Sostenibilidad",1
6,¡Qué chévere! Me apunto para sembrar. 🌱 #EcoHuertas,2
7,¿En qué barrio de Popayán es el huerto? #CaucaVerde,2
8,"Buena iniciativa, pero deberían dar más detalles de cómo llegar. 😕 #EcoHuertas",2
9,"Me encanta este proyecto, es bacano ver huertos en la ciudad, pero ojalá enseñen sobre compostaje también. 😊 #CaucaVerde",2
10,"¡Qué nota! @MariaLopez, vente a aprender a sembrar con nosotros este finde. 🙌 #EcoHuertas",2
11,¡Qué nota! Me uno este viernes. 🌱 #HuertoComunitario,3
12,¿Dónde queda el huerto en Popayán? #HuertoComunitario,3
13,"Buena idea, pero falta más info del evento. 😕 #HuertoComunitario",3
14,"Me encanta esto, pero ojalá enseñen sobre compostaje también. 😊 #HuertoComunitario",3
15,"¡Súper bacano! @CarlosPerez, vente al huerto. 🙌 #HuertoComunitario",3
16,¡Qué bacano! Me apunto al taller de compostaje. 🌿 #EcoHuertas,4
17,¿Dónde es el taller este domingo? #Sostenibilidad,4
18,"Buen tema, pero deberían compartir el horario exacto. 😕 #EcoHuertas",4
19,"Me encanta aprender sobre compostaje, pero ojalá expliquen técnicas para apartamentos pequeños. 😊 #Sostenibilidad",4
20,"¡Qué chimba! @SofiaRios, inscríbete conmigo al taller. 🙌 #EcoHuertas",4
21,¡Súper chévere! Quiero cultivar en mi balcón. 🌱 #HuertosUrbanos,5
22,¿Cómo me uno a la comunidad? #Verde,5
23,"Buena vibra, pero falta info de cómo participar. 😕 #HuertosUrbanos",5
24,"Me gusta la idea de huertos urbanos, pero ojalá den tips para principiantes. 😊 #Verde",5
25,"¡Qué bacano! @JuanMendez, ven a crecer con EcoHuertas. 🙌 #HuertosUrbanos",5
26,¡Qué bacano! Ahí estaré este sábado sembrando. 🌿 #EcoHuertasUrbanas,6
27,¿En qué lugar de Popayán es el taller? #SembrandoFuturo,6
28,"Buen plan, pero falta el horario del evento. 😕 #EcoHuertasUrbanas",6
29,"Me encanta la idea, pero ojalá enseñen sobre suelos urbanos. 😊 #SembrandoFuturo",6
30,"¡Qué nota! @AnaLopez, vente al huerto con nosotros. 🙌 #EcoHuertasUrbanas",6
31,¡Qué chévere! Me apunto para sembrar. 🌱 #EcoHuertas,7
32,¿Dónde queda el huerto en Popayán? #Cauca,7
33,"Buena idea, pero deberían mejorar la organización del evento. 😕 #EcoHuertas",7
34,"Me encanta el proyecto de huertos, pero ojalá den más detalles sobre cómo participar y qué necesitamos llevar. 😊 #Cauca",7
35,"¡Qué bacano! @MariaGomez, vente este finde a cultivar con nosotros en el huerto urbano. 🙌 #EcoHuertas",7
36,¡Qué bacano! Voy al taller este sábado. 🌿 #HuertosUrbanos,8
37,¿En qué parte de Popayán es el taller? #CaucaVerde,8
38,"Interesante, pero el sitio web no carga bien. 😕 #Sostenibilidad",8
39,"Me encanta la idea de huertos comunitarios, pero sería bueno que explicaran más sobre los materiales que necesitamos para el taller. 😊 #HuertosUrbanos",8
40,"¡Qué chimba de plan! @JuanPerez, únete al taller de siembra con nosotros. 🙌 #CaucaVerde",8
41,¡Súper bacano! Me inscribo para el viernes. 🌱 #EcoHuertas,9
42,¿Dónde es el evento en Popayán? ¿Hay que llevar algo? #SembrandoFuturo,9
43,"Buen mensaje, pero la inscripción en la web es confusa. 😕 #Sostenibilidad",9
44,"Me encanta aprender sobre huertos, pero ojalá expliquen cómo adaptar las técnicas para apartamentos pequeños en la ciudad. 😊 #EcoHuertas",9
45,"¡Qué nota de evento! @LauraRios, vente conmigo a sembrar este viernes en Popayán. 🙌 #SembrandoFuturo",9
46,"Increíble iniciativa para la sostenibilidad, voy a ir. ¡Sigan así! 🌿 #EcoHuertas",9
47,"El tema es interesante, pero deberían mejorar la comunicación sobre los horarios y el lugar exacto. 😔 #Sostenibilidad",9
48,¡Qué chévere! Me apunto al taller de compostaje. 🌿 #HuertosUrbanos,10
49,¿Dónde será el taller en Popayán? #Cauca,10
50,"Buena idea, pero el link del sitio no funciona bien. 😕 #EcoVida",10
51,"Me encanta el proyecto, pero ojalá den más detalles sobre qué necesitamos llevar al taller. 😊 #HuertosUrbanos",10
52,"¡Qué bacano! @SofiaLopez, ven al taller este domingo. 🙌 #Cauca",10
53,"Súper iniciativa, voy a aprender sobre compostaje. 🌱 #EcoVida",10
54,¡Qué bacano! Ya me inscribí para el sábado. 🌱 #EcoHuertas,11
55,¿Dónde es el taller en Popayán? ¿Cómo me registro? #Sostenibilidad,11
56,"Buen plan, pero deberían aclarar el lugar exacto. 😕 #HuertoComunitario",11
57,"Me encanta la idea de sembrar, pero ojalá expliquen técnicas para espacios pequeños como balcones. 😊 #EcoHuertas",11
58,"¡Qué nota! @JuanCa, apúntate al taller con nosotros. 🙌 #Sostenibilidad",11
59,"Increíble iniciativa, voy a aprender a cultivar. 🌿 #HuertoComunitario",11
60,"El taller suena genial, pero el cupo limitado me preocupa, deberían abrir más espacios. 😔 #EcoHuertas",11
61,¡Qué chimba! Me apunto al taller este sábado. 🌱 #HuertosUrbanos,12
62,¿Dónde será el evento en Popayán? ¿Hay que inscribirse antes? #CaucaVerde,12
63,"Gran iniciativa, pero el sitio web está lento para registrarse. 😕 #Sostenibilidad",12
64,"Me encanta que promuevan huertos, pero deberían incluir más tips para principiantes en el taller. 😊 #Comunidad",12
65,"¡Qué bacano! @MariaRios, ven al taller de siembra con nosotros. 🙌 #HuertosUrbanos",12
66,"Increíble trabajo con las familias, voy a unirme al próximo evento. 🌿 #CaucaVerde",12
67,"El proyecto es súper valioso, pero ojalá organicen mejor los horarios para los que trabajamos. 😔 #Sostenibilidad",12
